ObjectID,PositionX,PositionY,Timestamp
1,0.2743,-2.3045,1733840759.688000
1,0.2693,-2.3229,1733840759.971000
1,0.2632,-2.3212,1733840760.276000
1,0.2534,-2.3254,1733840760.487000
1,0.2242,-2.3236,1733840760.782000
1,0.2652,-2.3197,1733840761.043000
1,0.2652,-2.3152,1733840761.270000
1,0.2844,-2.3129,1733840761.508000
1,0.2465,-2.3212,1733840761.776000
1,0.2520,-2.3212,1733840761.999000
1,0.2743,-2.3157,1733840762.219000
1,0.2430,-2.3191,1733840762.440000
1,0.2693,-2.3229,1733840762.647000
1,0.2743,-2.3157,1733840762.868000
1,0.2465,-2.3212,1733840763.085000
1,0.2652,-2.3152,1733840763.311000
1,0.2543,-2.3229,1733840763.609000
1,0.2607,-2.3334,1733840763.890000
1,0.2342,-2.3279,1733840764.110000
1,0.2442,-2.3329,1733840764.388000
1,0.2944,-2.3279,1733840764.612000
1,0.2931,-2.3129,1733840764.851000
1,0.2944,-2.3279,1733840765.115000
1,0.2789,-2.3288,1733840765.338000
1,0.2493,-2.3254,1733840765.563000
1,0.2576,-2.3268,1733840765.855000
1,0.2561,-2.3288,1733840766.079000
1,0.2367,-2.3317,1733840766.355000
1,0.1740,-2.3308,1733840766.580000
1,0.0594,-2.2233,1733840766.857000
1,-0.1268,-2.1374,1733840767.094000
1,-0.2415,-2.0299,1733840767.301000
1,-0.4277,-1.8866,1733840767.582000
1,-0.5424,-1.7433,1733840767.803000
1,-0.6434,-1.6158,1733840768.029000
1,-0.7573,-1.2634,1733840768.313000
1,-0.7013,-1.0797,1733840768.544000
1,-0.8122,-0.8469,1733840768.748000
1,-0.7637,-0.6279,1733840768.968000
1,-0.8189,-0.3220,1733840769.251000
1,-1.0796,0.2446,1733840769.693000
1,-0.9376,0.2029,1733840769.976000
1,-0.9013,0.4090,1733840770.198000
1,-0.7662,0.8715,1733840770.639000
1,-0.6534,0.8966,1733840770.923000
1,-0.6060,0.9996,1733840771.143000
1,-0.5531,1.1306,1733840771.369000
1,-0.4779,1.2476,1733840771.584000
1,-0.4403,1.2601,1733840771.869000
1,-0.3926,1.2677,1733840772.089000
1,-0.3024,1.2727,1733840772.309000
1,-0.2221,1.2977,1733840772.593000
1,-0.1937,1.2768,1733840772.829000
1,-0.1185,1.3395,1733840773.033000
1,-0.0676,1.3456,1733840773.321000
1,0.0952,1.4733,1733840773.536000
1,0.1462,1.5011,1733840773.756000
1,0.2242,1.5234,1733840773.976000
1,0.2931,1.5422,1733840774.259000
1,0.2794,1.5334,1733840774.494000
1,0.3245,1.5777,1733840774.699000
1,0.4020,1.6966,1733840774.983000
1,0.3997,1.7491,1733840775.202000
1,0.2743,1.8494,1733840775.945000
1,0.2743,1.8494,1733840776.169000
2,1.3131,0.7999,1733840759.688000
2,1.3274,0.7963,1733840759.971000
2,1.3274,0.7900,1733840760.276000
2,1.3330,0.7712,1733840760.487000
2,1.3219,0.7991,1733840760.782000
2,1.3219,0.8046,1733840761.043000
2,1.3274,0.8013,1733840761.270000
2,1.3149,0.7837,1733840761.508000
2,1.3149,0.7837,1733840761.776000
2,1.3163,0.8381,1733840761.999000
2,1.3330,0.7879,1733840762.219000
2,1.3324,0.7963,1733840762.440000
2,1.3274,0.8414,1733840762.647000
2,1.3229,0.8669,1733840762.868000
2,1.2961,0.8715,1733840763.085000
2,1.2363,0.9444,1733840763.311000
2,1.1101,0.9969,1733840763.609000
2,1.0165,1.0621,1733840763.890000
7,0.9943,1.3658,1733840764.388000
7,0.9463,1.3880,1733840764.612000
7,0.9012,1.4733,1733840764.851000
7,1.0129,1.4094,1733840765.115000
7,1.0660,1.3551,1733840765.338000
7,1.0851,1.3145,1733840765.563000
7,1.0767,1.2046,1733840765.855000
7,1.0695,1.1473,1733840766.079000
7,1.1739,1.0439,1733840766.355000
7,1.2639,1.0052,1733840766.580000
7,1.2541,1.0798,1733840766.857000
7,1.2661,1.1612,1733840767.094000
7,1.2363,1.3000,1733840767.301000
7,1.2372,1.1824,1733840767.582000
7,1.1645,1.2037,1733840767.803000
7,1.1018,1.1724,1733840768.029000
7,1.0265,1.1974,1733840768.313000
7,0.8761,1.3228,1733840768.968000
8,0.9764,1.5091,1733840768.313000
8,0.9513,1.4231,1733840768.544000
8,0.8475,1.5162,1733840768.748000
8,0.8385,1.4858,1733840768.968000
8,0.5501,1.3730,1733840769.471000
8,0.5251,1.5109,1733840770.198000
8,0.4499,1.5485,1733840770.639000
10,0.4136,1.6739,1733840769.693000
10,0.3119,1.7156,1733840769.976000
10,0.3531,1.6452,1733840770.198000
10,0.4164,1.6989,1733840770.923000
10,0.5752,1.6939,1733840771.143000
10,0.4649,1.7039,1733840771.369000
10,0.5853,1.6588,1733840771.584000
10,0.6153,1.5334,1733840771.869000
10,0.8072,1.4545,1733840772.089000
10,0.9541,1.4175,1733840772.309000
10,1.0194,1.3157,1733840772.593000
10,1.0851,1.1974,1733840772.829000
10,1.1547,1.1389,1733840773.033000
10,1.2773,1.0470,1733840773.321000
10,1.3351,0.9718,1733840773.536000
10,1.3386,0.8826,1733840773.756000
10,1.3081,0.8445,1733840773.976000
10,1.3548,0.8441,1733840774.259000
10,1.3826,0.8966,1733840774.494000
10,1.4200,0.8869,1733840774.699000
10,1.5531,0.8339,1733840774.983000
11,0.2242,1.8494,1733840770.923000
11,-0.4152,1.5359,1733840771.584000
15,1.4733,1.1222,1733840775.655000
15,1.5071,1.1348,1733840775.945000
15,1.5531,1.2376,1733840776.169000
15,1.5029,1.3103,1733840776.375000
